Ep. 1, Timestep 67,  Ep.Timesteps 67, Score: -115.40, Avg.Score: -115.40, Time: 00:00:00 
Ep. 2, Timestep 136,  Ep.Timesteps 69, Score: -99.32, Avg.Score: -107.36, Time: 00:00:01 
Ep. 3, Timestep 1736,  Ep.Timesteps 1600, Score: -76.74, Avg.Score: -97.15, Time: 00:00:02 
Ep. 4, Timestep 1804,  Ep.Timesteps 68, Score: -113.31, Avg.Score: -101.19, Time: 00:00:27 
Ep. 5, Timestep 1869,  Ep.Timesteps 65, Score: -116.65, Avg.Score: -104.28, Time: 00:00:28 
Ep. 6, Timestep 1955,  Ep.Timesteps 86, Score: -107.48, Avg.Score: -104.82, Time: 00:00:29 
Ep. 7, Timestep 2097,  Ep.Timesteps 142, Score: -122.94, Avg.Score: -107.40, Time: 00:00:31 
Ep. 8, Timestep 2169,  Ep.Timesteps 72, Score: -100.66, Avg.Score: -106.56, Time: 00:00:33 
Ep. 9, Timestep 2257,  Ep.Timesteps 88, Score: -106.25, Avg.Score: -106.53, Time: 00:00:34 
Ep. 10, Timestep 3857,  Ep.Timesteps 1600, Score: -80.46, Avg.Score: -103.92, Time: 00:00:36 
Ep. 11, Timestep 3919,  Ep.Timesteps 62, Score: -110.21, Avg.Score: -104.49, Time: 00:01:02 
Ep. 12, Timestep 3995,  Ep.Timesteps 76, Score: -100.27, Avg.Score: -104.14, Time: 00:01:03 
Ep. 13, Timestep 5595,  Ep.Timesteps 1600, Score: -77.42, Avg.Score: -102.08, Time: 00:01:05 
Ep. 14, Timestep 7195,  Ep.Timesteps 1600, Score: -85.06, Avg.Score: -100.87, Time: 00:01:31 
Ep. 15, Timestep 7312,  Ep.Timesteps 117, Score: -103.61, Avg.Score: -101.05, Time: 00:01:56 
Ep. 16, Timestep 7386,  Ep.Timesteps 74, Score: -120.48, Avg.Score: -102.27, Time: 00:01:58 
Ep. 17, Timestep 7475,  Ep.Timesteps 89, Score: -117.83, Avg.Score: -103.18, Time: 00:02:00 
Ep. 18, Timestep 7545,  Ep.Timesteps 70, Score: -100.43, Avg.Score: -103.03, Time: 00:02:01 
Ep. 19, Timestep 7628,  Ep.Timesteps 83, Score: -104.02, Avg.Score: -103.08, Time: 00:02:02 
Ep. 20, Timestep 7694,  Ep.Timesteps 66, Score: -112.58, Avg.Score: -103.56, Time: 00:02:04 
Ep. 21, Timestep 9294,  Ep.Timesteps 1600, Score: -87.67, Avg.Score: -102.80, Time: 00:02:06 
Ep. 22, Timestep 9344,  Ep.Timesteps 50, Score: -100.90, Avg.Score: -102.71, Time: 00:02:31 
Ep. 23, Timestep 9404,  Ep.Timesteps 60, Score: -110.37, Avg.Score: -103.05, Time: 00:02:32 
Ep. 24, Timestep 9448,  Ep.Timesteps 44, Score: -112.25, Avg.Score: -103.43, Time: 00:02:33 
Ep. 25, Timestep 9513,  Ep.Timesteps 65, Score: -109.91, Avg.Score: -103.69, Time: 00:02:34 
Ep. 26, Timestep 9605,  Ep.Timesteps 92, Score: -101.02, Avg.Score: -103.59, Time: 00:02:35 
Ep. 27, Timestep 9680,  Ep.Timesteps 75, Score: -105.56, Avg.Score: -103.66, Time: 00:02:37 
Ep. 28, Timestep 9747,  Ep.Timesteps 67, Score: -100.64, Avg.Score: -103.55, Time: 00:02:38 
Ep. 29, Timestep 11347,  Ep.Timesteps 1600, Score: -108.49, Avg.Score: -103.72, Time: 00:02:40 
Ep. 30, Timestep 11427,  Ep.Timesteps 80, Score: -108.94, Avg.Score: -103.90, Time: 00:03:05 
Ep. 31, Timestep 11728,  Ep.Timesteps 301, Score: -123.84, Avg.Score: -104.54, Time: 00:03:07 
Ep. 32, Timestep 13328,  Ep.Timesteps 1600, Score: -62.54, Avg.Score: -103.23, Time: 00:03:13 
Ep. 33, Timestep 13391,  Ep.Timesteps 63, Score: -123.43, Avg.Score: -103.84, Time: 00:03:38 
Ep. 34, Timestep 13516,  Ep.Timesteps 125, Score: -104.86, Avg.Score: -103.87, Time: 00:03:40 
Ep. 35, Timestep 13708,  Ep.Timesteps 192, Score: -113.23, Avg.Score: -104.14, Time: 00:03:42 
Ep. 36, Timestep 13755,  Ep.Timesteps 47, Score: -114.01, Avg.Score: -104.41, Time: 00:03:45 
Ep. 37, Timestep 13818,  Ep.Timesteps 63, Score: -121.46, Avg.Score: -104.87, Time: 00:03:46 
Ep. 38, Timestep 13986,  Ep.Timesteps 168, Score: -135.18, Avg.Score: -105.67, Time: 00:03:47 
Ep. 39, Timestep 15586,  Ep.Timesteps 1600, Score: -116.61, Avg.Score: -105.95, Time: 00:03:50 
Ep. 40, Timestep 15771,  Ep.Timesteps 185, Score: -141.50, Avg.Score: -106.84, Time: 00:04:16 
Ep. 41, Timestep 15874,  Ep.Timesteps 103, Score: -102.78, Avg.Score: -106.74, Time: 00:04:20 
Ep. 42, Timestep 15963,  Ep.Timesteps 89, Score: -104.55, Avg.Score: -106.69, Time: 00:04:21 
Ep. 43, Timestep 16086,  Ep.Timesteps 123, Score: -129.34, Avg.Score: -107.21, Time: 00:04:23 
Ep. 44, Timestep 16197,  Ep.Timesteps 111, Score: -133.52, Avg.Score: -107.81, Time: 00:04:25 
Ep. 45, Timestep 17797,  Ep.Timesteps 1600, Score: -112.14, Avg.Score: -107.91, Time: 00:04:28 
Ep. 46, Timestep 19397,  Ep.Timesteps 1600, Score: -90.48, Avg.Score: -107.53, Time: 00:04:55 
Ep. 47, Timestep 20997,  Ep.Timesteps 1600, Score: -94.61, Avg.Score: -107.25, Time: 00:05:22 
Ep. 48, Timestep 22597,  Ep.Timesteps 1600, Score: -93.72, Avg.Score: -106.97, Time: 00:05:50 
Ep. 49, Timestep 24197,  Ep.Timesteps 1600, Score: -93.60, Avg.Score: -106.70, Time: 00:06:18 
Ep. 50, Timestep 24305,  Ep.Timesteps 108, Score: -101.20, Avg.Score: -106.59, Time: 00:06:44 
Ep. 51, Timestep 25905,  Ep.Timesteps 1600, Score: -89.18, Avg.Score: -106.25, Time: 00:06:47 
Ep. 52, Timestep 25958,  Ep.Timesteps 53, Score: -113.01, Avg.Score: -106.38, Time: 00:07:13 
Ep. 53, Timestep 26028,  Ep.Timesteps 70, Score: -125.71, Avg.Score: -106.74, Time: 00:07:14 
Ep. 54, Timestep 26097,  Ep.Timesteps 69, Score: -126.46, Avg.Score: -107.11, Time: 00:07:16 
Ep. 55, Timestep 27697,  Ep.Timesteps 1600, Score: -108.67, Avg.Score: -107.14, Time: 00:07:18 
Ep. 56, Timestep 27762,  Ep.Timesteps 65, Score: -104.16, Avg.Score: -107.08, Time: 00:07:45 
Ep. 57, Timestep 27890,  Ep.Timesteps 128, Score: -110.41, Avg.Score: -107.14, Time: 00:07:46 
Ep. 58, Timestep 29490,  Ep.Timesteps 1600, Score: -133.04, Avg.Score: -107.59, Time: 00:07:49 
Ep. 59, Timestep 31090,  Ep.Timesteps 1600, Score: -101.91, Avg.Score: -107.49, Time: 00:08:16 
Ep. 60, Timestep 31145,  Ep.Timesteps 55, Score: -112.88, Avg.Score: -107.58, Time: 00:08:43 
Ep. 61, Timestep 32745,  Ep.Timesteps 1600, Score: -83.66, Avg.Score: -107.19, Time: 00:08:45 
Ep. 62, Timestep 34345,  Ep.Timesteps 1600, Score: -83.99, Avg.Score: -106.81, Time: 00:09:12 
Ep. 63, Timestep 35945,  Ep.Timesteps 1600, Score: -97.13, Avg.Score: -106.66, Time: 00:09:40 
Ep. 64, Timestep 36016,  Ep.Timesteps 71, Score: -127.90, Avg.Score: -106.99, Time: 00:10:07 
Ep. 65, Timestep 36097,  Ep.Timesteps 81, Score: -133.32, Avg.Score: -107.40, Time: 00:10:08 
Ep. 66, Timestep 36149,  Ep.Timesteps 52, Score: -119.29, Avg.Score: -107.58, Time: 00:10:09 
Ep. 67, Timestep 36202,  Ep.Timesteps 53, Score: -117.32, Avg.Score: -107.72, Time: 00:10:10 
Ep. 68, Timestep 36258,  Ep.Timesteps 56, Score: -115.55, Avg.Score: -107.84, Time: 00:10:11 
Ep. 69, Timestep 36322,  Ep.Timesteps 64, Score: -118.79, Avg.Score: -108.00, Time: 00:10:12 
Ep. 70, Timestep 36386,  Ep.Timesteps 64, Score: -121.56, Avg.Score: -108.19, Time: 00:10:13 
Ep. 71, Timestep 37986,  Ep.Timesteps 1600, Score: -93.93, Avg.Score: -107.99, Time: 00:10:15 
Ep. 72, Timestep 38073,  Ep.Timesteps 87, Score: -133.83, Avg.Score: -108.35, Time: 00:10:42 
Ep. 73, Timestep 38144,  Ep.Timesteps 71, Score: -122.68, Avg.Score: -108.55, Time: 00:10:44 
Ep. 74, Timestep 38242,  Ep.Timesteps 98, Score: -135.93, Avg.Score: -108.92, Time: 00:10:45 
Ep. 75, Timestep 39842,  Ep.Timesteps 1600, Score: -124.25, Avg.Score: -109.12, Time: 00:10:48 
Ep. 76, Timestep 39953,  Ep.Timesteps 111, Score: -137.42, Avg.Score: -109.49, Time: 00:11:15 
Ep. 77, Timestep 40086,  Ep.Timesteps 133, Score: -145.71, Avg.Score: -109.96, Time: 00:11:17 
Ep. 78, Timestep 41686,  Ep.Timesteps 1600, Score: -147.02, Avg.Score: -110.44, Time: 00:11:20 
Ep. 79, Timestep 43286,  Ep.Timesteps 1600, Score: -82.91, Avg.Score: -110.09, Time: 00:11:49 
Ep. 80, Timestep 44886,  Ep.Timesteps 1600, Score: -103.29, Avg.Score: -110.00, Time: 00:12:17 
Ep. 81, Timestep 46486,  Ep.Timesteps 1600, Score: -143.23, Avg.Score: -110.41, Time: 00:12:46 
Ep. 82, Timestep 48086,  Ep.Timesteps 1600, Score: -80.15, Avg.Score: -110.05, Time: 00:13:16 
Ep. 83, Timestep 49686,  Ep.Timesteps 1600, Score: -110.79, Avg.Score: -110.05, Time: 00:13:45 
Ep. 84, Timestep 51286,  Ep.Timesteps 1600, Score: -135.04, Avg.Score: -110.35, Time: 00:14:15 
Ep. 85, Timestep 52092,  Ep.Timesteps 806, Score: -149.75, Avg.Score: -110.82, Time: 00:14:44 
Ep. 86, Timestep 52232,  Ep.Timesteps 140, Score: -105.53, Avg.Score: -110.75, Time: 00:14:59 
Ep. 87, Timestep 52302,  Ep.Timesteps 70, Score: -109.74, Avg.Score: -110.74, Time: 00:15:02 
Ep. 88, Timestep 52365,  Ep.Timesteps 63, Score: -111.68, Avg.Score: -110.75, Time: 00:15:03 
Ep. 89, Timestep 52616,  Ep.Timesteps 251, Score: -109.61, Avg.Score: -110.74, Time: 00:15:04 
Ep. 90, Timestep 54216,  Ep.Timesteps 1600, Score: -150.76, Avg.Score: -111.18, Time: 00:15:10 
Ep. 91, Timestep 55816,  Ep.Timesteps 1600, Score: -119.43, Avg.Score: -111.28, Time: 00:15:40 
Ep. 92, Timestep 57416,  Ep.Timesteps 1600, Score: -98.40, Avg.Score: -111.14, Time: 00:16:11 
Ep. 93, Timestep 59016,  Ep.Timesteps 1600, Score: -134.07, Avg.Score: -111.38, Time: 00:16:41 
Ep. 94, Timestep 60564,  Ep.Timesteps 1548, Score: -51.90, Avg.Score: -110.75, Time: 00:17:12 
Ep. 95, Timestep 60613,  Ep.Timesteps 49, Score: -110.04, Avg.Score: -110.74, Time: 00:17:42 
Ep. 96, Timestep 60668,  Ep.Timesteps 55, Score: -114.41, Avg.Score: -110.78, Time: 00:17:43 
Ep. 97, Timestep 60712,  Ep.Timesteps 44, Score: -112.13, Avg.Score: -110.79, Time: 00:17:44 
Ep. 98, Timestep 60752,  Ep.Timesteps 40, Score: -110.17, Avg.Score: -110.79, Time: 00:17:45 
Ep. 99, Timestep 60798,  Ep.Timesteps 46, Score: -108.63, Avg.Score: -110.77, Time: 00:17:46 
Ep. 100, Timestep 60860,  Ep.Timesteps 62, Score: -109.07, Avg.Score: -110.75, Time: 00:17:46 
Ep. 101, Timestep 60927,  Ep.Timesteps 67, Score: -113.65, Avg.Score: -110.73, Time: 00:17:48 
Ep. 102, Timestep 60980,  Ep.Timesteps 53, Score: -108.76, Avg.Score: -110.83, Time: 00:17:49 
Ep. 103, Timestep 62580,  Ep.Timesteps 1600, Score: -144.82, Avg.Score: -111.51, Time: 00:17:51 
Ep. 104, Timestep 62643,  Ep.Timesteps 63, Score: -115.56, Avg.Score: -111.53, Time: 00:18:22 
Ep. 105, Timestep 64243,  Ep.Timesteps 1600, Score: -158.50, Avg.Score: -111.95, Time: 00:18:24 
Ep. 106, Timestep 64346,  Ep.Timesteps 103, Score: -109.02, Avg.Score: -111.96, Time: 00:18:56 
Ep. 107, Timestep 65946,  Ep.Timesteps 1600, Score: -174.49, Avg.Score: -112.48, Time: 00:18:59 
Ep. 108, Timestep 66006,  Ep.Timesteps 60, Score: -109.43, Avg.Score: -112.57, Time: 00:19:31 
Ep. 109, Timestep 66078,  Ep.Timesteps 72, Score: -106.61, Avg.Score: -112.57, Time: 00:19:32 
Ep. 110, Timestep 66134,  Ep.Timesteps 56, Score: -106.17, Avg.Score: -112.83, Time: 00:19:33 
Ep. 111, Timestep 66187,  Ep.Timesteps 53, Score: -105.09, Avg.Score: -112.78, Time: 00:19:35 
Ep. 112, Timestep 66229,  Ep.Timesteps 42, Score: -107.32, Avg.Score: -112.85, Time: 00:19:36 
Ep. 113, Timestep 66271,  Ep.Timesteps 42, Score: -111.73, Avg.Score: -113.19, Time: 00:19:37 
Ep. 114, Timestep 66336,  Ep.Timesteps 65, Score: -109.47, Avg.Score: -113.43, Time: 00:19:37 
Ep. 115, Timestep 66409,  Ep.Timesteps 73, Score: -108.76, Avg.Score: -113.49, Time: 00:19:39 
Ep. 116, Timestep 66451,  Ep.Timesteps 42, Score: -110.91, Avg.Score: -113.39, Time: 00:19:40 
