Ep. 1, Score: -102.90, Avg.Score: -102.90
Ep. 2, Score: -103.97, Avg.Score: -103.43
Ep. 3, Score: -77.50, Avg.Score: -94.79
Ep. 4, Score: -100.20, Avg.Score: -96.14
Ep. 5, Score: -117.54, Avg.Score: -100.42
Ep. 6, Score: -107.18, Avg.Score: -101.55
Ep. 7, Score: -102.44, Avg.Score: -101.68
Ep. 8, Score: -106.48, Avg.Score: -102.28
Ep. 9, Score: -107.18, Avg.Score: -102.82
Ep. 10, Score: -102.69, Avg.Score: -102.81
Ep. 11, Score: -118.27, Avg.Score: -104.21
Ep. 12, Score: -121.37, Avg.Score: -105.64
Ep. 13, Score: -120.93, Avg.Score: -106.82
Ep. 14, Score: -81.21, Avg.Score: -104.99
Ep. 15, Score: -110.49, Avg.Score: -105.36
Ep. 16, Score: -105.90, Avg.Score: -105.39
Ep. 17, Score: -104.21, Avg.Score: -105.32
Ep. 18, Score: -80.56, Avg.Score: -103.95
Ep. 19, Score: -100.73, Avg.Score: -103.78
Ep. 20, Score: -78.29, Avg.Score: -102.50
Ep. 21, Score: -94.17, Avg.Score: -102.11
Ep. 22, Score: -116.83, Avg.Score: -102.77
Ep. 23, Score: -118.87, Avg.Score: -103.47
Ep. 24, Score: -146.36, Avg.Score: -105.26
Ep. 25, Score: -113.05, Avg.Score: -105.57
Ep. 26, Score: -180.30, Avg.Score: -108.45
Ep. 27, Score: -112.28, Avg.Score: -108.59
Ep. 28, Score: -112.21, Avg.Score: -108.72
Ep. 29, Score: -107.51, Avg.Score: -108.68
Ep. 30, Score: -112.36, Avg.Score: -108.80
Ep. 31, Score: -104.05, Avg.Score: -108.65
Ep. 32, Score: -106.04, Avg.Score: -108.56
Ep. 33, Score: -110.79, Avg.Score: -108.63
Ep. 34, Score: -114.22, Avg.Score: -108.80
Ep. 35, Score: -174.75, Avg.Score: -110.68
Ep. 36, Score: -137.98, Avg.Score: -111.44
Ep. 37, Score: -106.66, Avg.Score: -111.31
Ep. 38, Score: -124.73, Avg.Score: -111.66
Ep. 39, Score: -114.02, Avg.Score: -111.72
Ep. 40, Score: -214.46, Avg.Score: -114.29
Ep. 41, Score: -145.06, Avg.Score: -115.04
Ep. 42, Score: -84.15, Avg.Score: -114.31
Ep. 43, Score: -116.44, Avg.Score: -114.36
Ep. 44, Score: -119.93, Avg.Score: -114.48
Ep. 45, Score: -120.83, Avg.Score: -114.62
Ep. 46, Score: -110.12, Avg.Score: -114.53
Ep. 47, Score: -122.54, Avg.Score: -114.70
Ep. 48, Score: -121.01, Avg.Score: -114.83
Ep. 49, Score: -121.80, Avg.Score: -114.97
Ep. 50, Score: -129.91, Avg.Score: -115.27
Ep. 51, Score: -120.95, Avg.Score: -115.38
Ep. 52, Score: -163.51, Avg.Score: -116.31
Ep. 53, Score: -114.05, Avg.Score: -116.26
Ep. 54, Score: -115.90, Avg.Score: -116.26
Ep. 55, Score: -108.68, Avg.Score: -116.12
Ep. 56, Score: -109.72, Avg.Score: -116.01
Ep. 57, Score: -119.48, Avg.Score: -116.07
Ep. 58, Score: -118.01, Avg.Score: -116.10
Ep. 59, Score: -129.26, Avg.Score: -116.32
Ep. 60, Score: -126.41, Avg.Score: -116.49
Ep. 61, Score: -135.16, Avg.Score: -116.80
Ep. 62, Score: -153.48, Avg.Score: -117.39
Ep. 63, Score: -122.27, Avg.Score: -117.47
Ep. 64, Score: -106.26, Avg.Score: -117.29
Ep. 65, Score: -120.34, Avg.Score: -117.34
Ep. 66, Score: -127.21, Avg.Score: -117.49
Ep. 67, Score: -108.37, Avg.Score: -117.35
Ep. 68, Score: -133.35, Avg.Score: -117.59
Ep. 69, Score: -120.00, Avg.Score: -117.62
